,text,sentiment
0,trending nationalacadbreaknow mababalewala papakinggan nina tandang hukluban kase silang mapepera kagaya kang pinansin,0
1,e education dyan kababawan man malay nyp dumating time magprint modules practice teaching isasama board exam one subjects write print modules,0
2,pagod,0
3,sumali gdm links tas meetings fak acads,0
4,woii cutieeeeeee gt,0
5,ulit dep ed,0
6,luh pasok mamaya pagodnakami,0
7,shuta pasok ulit bukas ayoko napipili index card charot,0
8,pagod orientation,0
9,next hahahaha churorot allaboutangela ft rj perkins,0
10,nabuang auaw oag ijg ana drmand ahahahaha qboebgkmdk,0
11,pagod pwede,0
12,kanina nagtatanong tc nothing exist tas nasa,0
13,aga natulog kagabi diko tuloy alam,0
14,sakit puson shuta n tangina ak makakapasok,0
15,ched nonsense yes,0
16,pangit umaga putang ina pagodnakami,0
17,tanga naka,0
18,rf jymaf,0
19,twitter never exciting trying mould put phone away,0
20,hazhtagz hahahahahashahajabahahahah charotz,0
21,siguro pumasok siguro naghihirap maghanap pagkain nagkakasakit yestoacademicfreeze,0
22,lungkot,0
23,okay pasok malakas ulan,0
24,orientation pagod,0
25,taena nakaka lagnat pagrereview,0
26,tama pagodnakami tama sobra ibalik paaralan balikpaaralanipaglaban g qycjdf,0
27,im fucking tired,0
28,start pagod pagodnakami hahahahahaha,0
29,cutie,0
30,online classes hectic wait mom threaten taking away gadgets onlineclasses exams covid,0
31,tangina ibibigay samin stress stress ho baka baka,0
32,pagod nako sorry,0
33,kakagising kooo shuta daming activities naghihintay saken whooo,0
34,makapagcodm daming activitiesss,0
35,pagod hayst hahahahhahahah acqdidzygu,0
36,hello kawawa nasalanta bagyo susupindihin klase ata concern kuryente hmmm yestoacademicfreeze,0
37,nagagawa feel nakakapagod,0
38,pls pagod nako umakyat rd floor,0
39,health overthink pending gawain,0
40,cutie seth andrea hkmakuin,0
41,nasakyan punuan tangina gago e naka heels hagdan bus umupo auq online classes byahe pagod charot,0
42,literal beh jusq anong koh nagpanic nakahiga,0
43,matutulog aq kuno,0
44,partner forda person,0
45,sori n e kasalanan modules,0
46,lt lt lt coping missed lessons,0
47,ung nagseryoso nagreview exam exam ung nireview memes memef f facetoface sarcasm pj uxjl,0
48,sanaol ha,0
49,totoo nov,0
50,pasok bukas,0
51,prevent binge watching hometown cha started watching another drama cant watch drama night coz scares watch another romcom hometown cha watching freaking kdramas n animes pls,0
52,sumasapaw,0
53,nung mulat,0
54,kapagod kisay rest slash weekend completion ibang teachers nagtuturo curriculum k regional science high requirements bulok sistema,0
55,tamad pagodnakami,0
56,hate,0
57,pagodnakami totoo,0
58,totoo sta,0
59,galing ah kaming,0
60,tugnaw kaayo utok chs,0
61,fact things hard even dealing expert want shut time dumb hole already ship hit idiot iceberg forever ago anti want make content want qklueduldq,0
62,accept fact teachers tired left behind ru patawa ha pakinggan time really want nakakain sistemang ganito deped,0
63,shs started last acts exams nasagutan e iisipin normal e pang one whole ewan parin maniniwla ol killing pagodnakami fseumhkexh,0
64,maka ingon mansadtag atong katapulan ywa hahaha,0
65,nakakalunod tasks tangina,0
66,kinakabahan hehe,0
67,charizz lng,0
68,aha ra gyud nang minor subjects atay,0
69,enjoy daw nagbigay tambak gawain,0
70,pls,0
71,ituuuuuu,0
72,naway matuloy opo yes mamimihasa mamser,0
73,talagang request fridaylivestream sb votingday sb,0
74,hs working,0
75,health nagbigay activities,0
76,kai studyante nananawagan tama taon mahal mahirap nakakapagod distance learning kabataan bumalik aaral pagkatuto ewno h gm,0
77,puro nakikinig deped,0
78,sobrang sakit ulo plz srs,0
79,luh hahaha dinaman,0
80,want ayoko,0
81,flsss,0
82,plano bayan,0
83,donemidterms sleep money college olfu nursing stressed sakit pighati aray ouch,0
84,gumastos lab bukas aagree dun,0
85,putangina nagsisimula klase,0
86,taene e ayaw hahahaha,0
87,assignment activity exam diko alam stressss,0
88,rrant aba inamoka uts dina bati hirap mong intindihin wejohffnp,0
89,pwede inom ayain,0
90,tangina kapagod,0
91,char ge kapoy nakog eskwela,0
92,dami pinagagawa rtmgycl p,0
93,wow brain e,0
