text,sentiment
lunes nanaman bukas,0
q tapusin wednesday,0
super delay tbw list,0
tsngina pagod magpaypay,0
pagoda accla hours tulog gising lecture practice sayaw pm nakauwi tanginaaaa emz ahhahaahha,0
letra p putangina pagod,0
nakalimutan coffee essay tinapos jsxnsijshdiwnd okay magbigay essay reguirements napapabayaan coffee addiction,0
hard keep gawa lately pls eme,0
nakakapagod buhat mabigat bag,0
time enhypen aus mafifinish au matuloy,0
sobrang busy aaral,0
kayang umakyat baba lrt,0
pagod hehe,0
think haha uphsd baka itigil natin tong f f,0
grabe sobrang time enha,0
sagabal aaral kabadingan,0
haupppp yoko n basta mapasa ej nakaka dissatisfy tinatamad tlaga e pls ulit days,0
finance napakaraming terminologies piling napakaraming hakbang tas prac peh napakaaga matutulog nlng aq vacant,0
pagod aral,0
kapoyag study uy,0
fuck sisimula,0
miss kdrama series emz hahahahah ala kase time manood,0
hi guys kinakantot katamaran,0
taenang schedule,0
first full f f classes pagod pagod emz,0
hirap pumasok wtf schooldisband nakakainisnapumasok,0
kaming time stan twt,0
ituloy th malapit sumuko ngayong rd sobs,0
sobra,0
pagpapahingahin gago seryoso,0
tngina beh twice month em nagkaka sakit,0
bwiset university ipasira,0
tangina nd makapag esbi esbi,0
pagod pumasok,0
pagod n magcommute,0
gago umuwi bebe q bc rph gheoqqf j,0
hays first second quarter pagod,0
pagod humiga,0
nakalimutan ata twt,0
akala nakakatuwa ha wearenotrobots v w iye,0
fleece bobo math joke real,0
gago ante nakakahiya inaksep fb ayoko magkita skul,0
gutom,0
paanong quality aktibistang estudyante nagpapauso pagodnakami duterte classes sigaw marcos classes humihingi better education ayaw magsipasok nqet yqlc,0
gets calculus,0
sobrang lutang fleece eme,0
pagod rn like ughh tas bukas wla makakalimutan nanaman sya needhelp imtired huhubels,0
gi kapoy nako,0
pagod n aq magreview,0
ngang scores exam nasa acceptance stage nako,0
nakakatamad review,0
nakakapagod maglakad,0
oras tulog,0
tangina monday,0
hays grabe,0
sakit,0
videoke makakanta pagod exam kanina hays,0
pagod math,0
inang acads pinapalayo laloves ren em nakakapagbasa nang au busy gawa nang peta,0
pagod nako,0
lagi sumasakit pagod ayawkonamagcollege,0
subj yun ngayong araw pagod q hirap sumakay jeep pauwi,0
pagod commute huhu,0
isipin ah okay pspuba subject take midterm long quiz magaganap monday maawa hirap nang gawain sobra,0
mean tell stressing brains ugly crying full blown rushed project due sunday thought due today saya days aligaga kase nagagawa layo deadline,0
napapabayaan straykids,0
updated ganaaaaap emz,0
hehe nambabagsak daw prof,0
nang pumapasok isip,0
pls shutang chem padin backlogs midterm exam,0
ayoko,0
chem quiz bio quiz physics quiz cpar midterms help,0
hahahahahahahahahaha ayoko aral eme,0
sleep deprived almost month ever since mom got work emz haha,0
punyeta,0
nagbibitbit bag anignatup,0
late oc digitalart putangina originalcharacters twc tlryhd,0
napapabayaan txt,0
blue stop torture pls awa sunodsunod pinapagawa tas next exam kala sembreak,0
nakakaiyak mapua,0
bolshet pagod,0
g give printer,0
miss writing nakakasagabal aaral panglalaki kabaklaan,0
ayoko otu rhtenc,0
pagod huhu,0
tangina pagod,0
im tired,0
mental breakdowns burnouts say experience mental health webinars enough behalf demanding one asap,0
sleep pasok huhu,0
miss q ateez time yon huhu,0
nagkita ulit stressful weeks natin huhu see ulit finals charot collegelife nomoreexamspls bebetimeonly svi ythok,0
q busy acads q nakakapag focus txt sabagal acads,0
kase nagbibigay limang quizzes araw kawawa nmn ung teacher nagpareserve maaga yon minove nya tuloy monday e exam namen yon omaysguausjauajsjajfoaioajajdoajauah,0
nakakapag bebe time gt,0
joke pagod awa,0
tired,0
pagod jk jk,0
wag kausapin putangina speed,0
ohmygad miss ateez kingina busy acads n time koreano q,0
miss q tumambay lt lt,0
ebarg daming,0
tinatamad q aral,0
tangina utang loob perpetual bi,0
tanginang midterms,0
nakakapagod first emeeee,0
mauubos yong concealer eyebags bosit andaming pinapagawa wearenotrobots,0
jimin bukas andaming quizzes,0
ayoko business research,0
nainform iprepresent kaming ppt bukas bosit,0
umiiyak legal aspect foreign language,0
bwiset,0
pagod siyang nakangiti kausap katabi,0
kay gikapoy nako,0
argh longer,0
pagod please,0
luh exam,0
pagod,0
fucking fuck mentalhealthmatters ayawkonamabuhay iwannakms putangina,0
life update tinatablan skincare believe,0
ayoko,0
tulog q,0
hello ayoko magftf nahuhuli balita pls eme,0
pagod,0
ayoko aral ue ue ue,0
nd pagod ems,0
pagod estudyante,0
pagod,0
inang teacher pinagawa kumpleto aq tas babalik ung gawain kang binalik sakin tas ulitin nabalik tanga nabalik sakin,0
first stress,0
uli ayoko,0
hahahahahahahahaha gagi nakakabaliw acads omygod,0
tired waking every,0
wahahahahha good morning nagsisimula kalbaryo msu,0
even watch livestream haha xd,0
dikamirobot,0
prare genmath ikakamatay crazyshit,0
pahirapan sumakay papasok taragis,0
mamamatay nanamn bukas daming quizzzz,0
grabe masyadong time asawa eexist paki cancelled,0
napapabayaan enhypen,0
nako active enhypen,0
sugat sugat kamay,0
bumitaw,0
nakakatuwa tong f f exams,0
nakakapagod,0
nakong time enhypen,0
kainis mapanood love suckers cheer kaaaral,0
groupings nanaman tangina nakong time enhypen,0
nakakatamad pumasok,0
kapagod aral,0
pagod pagod,0
umuwing pogi kagabi natulog klase bukas hayss nakaka abala aaral,0
makapag stream pota pasok gabi,0
time kay mark lee malala,0
stressed aq jpganh vm,0
araw pagod,0
works getting way dream k qggu k,0
amaccana acads nakakasira ulo,0
grabe midterms madaan dasal aral,0
time kpop,0
huehueheuehuehehehehehdudhshsus bwiset dami pang stream mv seulgi gaie xwvku,0
fuck cb bukas kakapag focus streaming andaming works huhuhuhu helloeverywhere treasure thesecondstep chaptertwo,0
pagod,0
omsim preee badtrip ganyan,0
hello b kidding hi everyone back hahahahahaha ia classes ftf good idea hahahahaha napapabayaan svt,0
pakisuspend pasok bukas please rispgbgjul dplgou wq,0
enough month f f gets ok yun hahahaha,0
baka ikamatay jusko xvadzxlb,0
fuck nako updated bts,0
sakit buong katawan monday gtdhhztmpz,0
sir tao napapagod dy bph em,0
wearenotarobot,0
nanghina midterm,0
pucha start ata concert enhypen nasa,0
tangina klase ulit next,0
updated baby,0
bitch wanna live,0
napapabayaan stan twitter,0
nasasagutan number math potngena ayaw stop pls,0
kapoya uy,0
bosit mapapanood concert tmr haha,0
sobrang sama loob guys putangina sagabal buhay beh,0
nawawalan time nct dream please,0
sobrang busy natutuunan pansin koreano,0
hehe pagod,0
napapa bayaan seungcheol,0
ayoko naaa tnu wydoh,0
daming gawain,0
time anime,0
pagod,0
kakatapos gumasa activities huhuhu taena,0
going teachers tell ayaw mahirapan magbibigay maraming activities tao robots,0
wait sleep without thinking unfinish activities hahaha hahaha,0
aa monthly test labasan grades st quarter ayoko naaaaaa n pbkl lpw,0
sobrang busy nakalimutan flight babies charot bwhshchxhduchdgaysjshdh ru km bfg,0
girl cant anymore,0
pagod,0
ayoko,0
us q kz log hehshhsshza,0
pls miss kpop world,0
secret beh hhahahahahahhaa beh kaaa hala kilala moots huhu kasalanan aaral,0
october next sakto pagod,0
hala auq nakong nabe behind,0
dalwang araw nakapasok sakit uwi kaklase tinambakan assignment mapapa hashtag,0
pinabillboard de beh pasok con haha kita sched magiging sagabal pagkkpop tex sxy c,0
taena first pagod buwan taena pagodnako,0
ata andaming pinapagawa nagpprocrastinate help,0
grabe time kdramas,0
naabutan live jungwon gago jgh putek,0
ampanget sched q whole pasok pm auq,0
literally first exam whole tangina drain drain,0
sabog sabog gid ya akon grupo shota,0
lutang aq buong klase aq naintindihan,0
sagabal time pagbabasa,0
true hays,0
