,text,sentiment
0,sulitin natu hrs bilin back reality nas wednesday,0
1,know research project bc dumb watch failing,0
2,crom tidlak alab batch pshs cvc schoolmate left behind walangiwananpisay walangiwanancvc tingnan buong pahayag lmpxukb,0
3,ol,0
4,deped idea hard modular online,0
5,sorry someone explain trending kakastart,0
6,imagine hassle trying data gathering case study research amp thesis middle omicron surge,0
7,kinalaykay plates bonak sagot comfunprog tatamad tamad uts nage expect uno,0
8,active dms since sinabay undas halloween,0
9,lutang aq buong klase aq naintindihan,0
10,ok hard free propaganda develop interest serious historical research history meaning word kulak different time history help,0
11,official pinapasukang klase opo,0
12,groupings nanaman tangina nakong time enhypen,0
13,ayoko magaral chz,0
14,nako makagala,0
15,pls magfocus comeback wayv,0
16,basahin buong pahayag emiqrpc dutertepalpak oustdutertenow,0
17,ak makakapasok pamasahe,0
18,sagabal pagre rewatch haikyuu respect tweet,0
19,thank titaaaaa pampa sweet araw alam grumpy hahahaha,0
20,mame grades scam daw pakiki tinatamad sinabing ibabagsak,0
21,bahala oy panindigan nako heuehue,0
22,pahingi pls,0
23,focus reading fics,0
24,ngang midterm exam meron pang ipasa undas ix ukfbcrd,0
25,nang keti namomroblema jan,0
26,tanginangyan binigyan andami assignments,0
27,binigyan andaming gawain nuyown,0
28,itigil akala kabataan asa bayan oh eto lng nmn hinihiniling ayaw den nmn makinig den,0
29,unfinished research paper expirements,0
30,tamad minor hahaha,0
31,f ck,0
32,current situation really alarming batstateu,0
33,omg guys pasok bukas nov healthiswealth vwepaeelhi,0
34,hahahahaa char first,0
35,grabe man diay kaayo kakapoy aning giingon uyyy,0
36,auq n ppumasok bukas fleece joke haha,0
37,high nakiki pagodnakami start bukas pagod bakasyon yawa,0
38,high standard,0
39,hahahahahaahaha baka daw puu haha,0
40,pleek,0
41,dyan potang ena,0
42,inom inom naka,0
43,gagi chariz bw tkrkdj,0
44,undas part research bc someone wants finished f f classes start,0
45,f f pnc,0
46,pau pagod era joining rally bc pagod please paula stand immediate university wide ust heed calls actualize performative compassion pagodnakami bblk b sf,0
47,akala bat quiz bukas,0
48,nang funds edi,0
49,orientation palng pagod nako,0
50,ansaya binge watch detective conan hihi ep tas latest ep nasa yes cutie,0
51,totoo tapusin itong st sem bayaran tas enroll nd sem grabe pressure ga worst anxiety ayaw mapunta depression,0
52,pagod buhay kakagising pumasok online classes magdamag kaharap screen gabi modules deadline susunod araw mentalhealthmatters save,0
53,missed three lives whathehell fever,0
54,akala bat paschool,0
55,teachers take kitang kita mukha naglelecture gano kapuyat kaming sapat tulog edad healthy lifestyle,0
56,plead parents complain teach kids throw words saying teachers deserve salary anything,0
57,cmu cutie,0
58,debate nlg inaantay ung topic,0
59,acad acts discussion pt quizzes projects related tasks b acad pep acad siguro upload activities strat hmm papasok bigay activity ufrs sched papa quiz,0
60,nagplantsa e napaso hmp,0
61,naririnig nagrereport bro tas raw sang ayon hahahahahahahahhanatatawa baka aaral hahah like sayang computer games time xia ih,0
62,ung sc agree hahahhahahahahahahah sorry,0
63,hirap hirap bobo,0
64,honestly academics currently messing mental health pagodnakami aqhpg,0
65,naka nagbigay nang,0
66,tutulong angelites amp angeleneans pakinggan panawagan natin nasaanangmalasakit whereisthecompassion,0
67,exactly naaawa puro nasa news suicides really waiting die tomorrow want wake feeling stress depressed kase nakakapagod sobra please hsjsjthu,0
68,aaaaa ched takot natlacademicbreaknow nostudentleftbehind oustdutertenow,0
69,good afternoon everyone since undas tomorrow open commissions answer inquiry form,0
70,linog,0
71,playing inazuma spite back bc amount world quests man ended quitting taking idk cuz didnt want genshin mess performance seocnd time lmfaoo,0
72,green said along weekends,0
73,happening energy lately hahhahahahahaha tagal christmas,0
74,maypang cmu approved,0
75,natuloy bwhahaha,0
76,bang hehehehe,0
77,uy post page molino naaappreciate bible quote yes totoong helpers god hear voices screaming loud daltanona nostudentleftbehind,0
78,grabe sobrang time enha,0
79,napapala aaral oaq yr,0
80,join stethoscope unta im enjoying raman sd pwedeg iextend,0
81,extend plsss,0
82,sir meron kaming ie office libreta meron coordinate kay emy hmm akala macocontact char pz mxej,0
83,special place hell teachers give activities breaks,0
84,amoy scam okay thanks onj perk,0
85,pagod umakyat hagdan,0
86,yut pduf z,0
87,think,0
88,moreklamo unta wla mn gyud diay mi,0
89,lovie emy haha,0
90,daw exam,0
91,bakt namn lng bawal bng,0
92,think way walking friends tired continue tell suck deal stop rest minutes pagodnakami,0
93,nami feeling ga send teachers memo,0
94,haha taena,0
95,pagod hehe,0
96,sisihin,0
97,start,0
