,absolute_tidy_tweets,stopped_tweets,positive,negative,total,StSc,sentiment
1,Hello AcademicTwitter You need to have a rest To activate your best Thus try to find time for yourself if possible AcademicChatter AcademicBreakNow phdvoice postdocvoice phdlife,hello academictwitter need rest activate best thus try find time possible academicchatter academicbreaknow phdvoice postdocvoice phdlife,2,0,26,1.0,1
3,AcademicBreakNow gusto q na tapusin Wednesday,academicbreaknow q tapusin wednesday,1,0,6,1.0,1
7,academicbreaknow tsngina pagod na ko magpaypay,academicbreaknow tsngina pagod magpaypay,0,0,6,0.0,0
8,Pagoda ang accla hours tulog gising am lecture ng am am may practice pa ng sayaw ng hanggang pm nakauwi na me now lang tanginaaaa AcademicBreakNow EMZ AHHAHAAHHA,pagoda accla hours tulog gising lecture practice sayaw pm nakauwi lang tanginaaaa academicbreaknow emz ahhahaahha,0,0,28,0.0,0
9,sa letra ng p putangina pagod na ko academicbreaknow,letra p putangina pagod academicbreaknow,0,-2,9,0.0,0
10,nakalimutan kong may coffee pala ako kasi may essay akong tinapos jsxnsijshdiwnd HINDI NA PO OKAY ANG MAGBIGAY NG ESSAY REGUIREMENTS NAPAPABAYAAN KO NA PO ANG COFFEE ADDICTION KO AcademicBreakNow,nakalimutan coffee pala kasi essay akong tinapos jsxnsijshdiwnd po okay magbigay essay reguirements napapabayaan po coffee addiction academicbreaknow,0,0,30,0.0,0
11,it s so hard to keep up gawa ng school lately pls academicbreaknow eme,hard keep gawa school lately pls academicbreaknow eme,0,-2,14,0.0,0
15,sobrang busy ko na sa pag aaral hindi to maaari academicbreaknow,sobrang busy pag aaral academicbreaknow,0,0,11,0.0,0
17,pagod na me pero what if AcademicBreakNow hehe,pagod academicbreaknow hehe,0,0,8,0.0,0
18,AcademicBreakNow need ko mag radiant,academicbreaknow need mag radiant,1,0,5,1.0,1
21,grabe sobrang wala na kong time para sa enha AcademicBreakNow,grabe sobrang wala time enha academicbreaknow,0,0,10,0.0,0
23,Sagabal talaga ang pag aaral sa kabadingan AcademicBreakNow,sagabal talaga pag aaral kabadingan academicbreaknow,1,0,8,1.0,1
24,haupppp yoko n basta mapasa na lang ej no nakaka dissatisfy pero tinatamad na tlaga ko e pls gusto ko ulit ng break kahit days lang AcademicBreakNow,haupppp yoko n basta mapasa lang ej nakaka dissatisfy tinatamad tlaga e pls ulit break days lang academicbreaknow,1,-3,27,-0.5,0
25,yung finance napakaraming terminologies tapos yung piling napakaraming hakbang tas may prac pa sa peh ng napakaaga matutulog nlng aq sana may vacant AcademicBreakNow,yung finance napakaraming terminologies tapos yung piling napakaraming hakbang tas prac peh napakaaga matutulog nlng aq sana vacant academicbreaknow,0,0,24,0.0,0
27,What an insightful graphical representation How do you find it phdlife PhDone postdoc AcademicTwitter AcademicChatter AcademicBreakNow t co iQJDhT Phe,insightful graphical representation find phdlife phdone postdoc academictwitter academicchatter academicbreaknow co iqjdht phe,1,0,20,1.0,1
28,naglive si jake na hindi ko alam i believe AcademicBreakNow,naglive si jake alam believe academicbreaknow,0,0,10,0.0,0
30,Pagod na po ako mag aral AcademicBreakNow,pagod po mag aral academicbreaknow,1,0,7,1.0,1
32,fuck ngayon palang ako mag sisimula AcademicBreakNow,fuck palang mag sisimula academicbreaknow,0,0,7,0.0,0
34,Hi guys kinakantot me ng katamaran now AcademicBreakNow,hi guys kinakantot katamaran academicbreaknow,0,0,8,0.0,0
35,miss ko na mga koreano ko enhypen academicbreaknow,miss koreano enhypen academicbreaknow,0,0,8,0.0,0
36,taenang schedule to AcademicBreakNow,taenang schedule academicbreaknow,0,0,4,0.0,0
37,first day pa lang ng full f f classes and pagod na pagod na agad ako what if academicbreaknow emz,first day lang full f f classes pagod pagod agad academicbreaknow emz,0,-2,20,0.0,0
38,Ang hirap na talaga pumasok wtf AcademicBreakNow schooldisband nakakainisnapumasok,hirap talaga pumasok wtf academicbreaknow schooldisband nakakainisnapumasok,1,-2,9,-0.3333333333333333,0
39,academicbreaknow wala na po kaming time sa stan twt,academicbreaknow wala po kaming time stan twt,0,0,9,0.0,0
43,hindi niyo ba talaga kami pagpapahingahin gago seryoso na to academicbreaknow,niyo ba talaga pagpapahingahin gago seryoso academicbreaknow,1,-2,11,-0.3333333333333333,0
48,omg guys walang pasok bukas Nov AcademicBreakNow HealthIsWealth t co VwEpaEeLhI,omg guys pasok bukas nov academicbreaknow healthiswealth co vwepaeelhi,0,-2,11,0.0,0
49,tangina nyo nd na ako makapag esbi esbi academicbreaknow,tangina nyo nd makapag esbi esbi academicbreaknow,0,0,9,0.0,0
51,gn sa unfinished assignment ko na due bukas AcademicBreakNow,gn unfinished assignment due bukas academicbreaknow,0,0,9,0.0,0
52,pagod na ako pumasok AcademicBreakNow,pagod pumasok academicbreaknow,0,-2,5,0.0,0
56,AcademicBreakNow gago umuwi pala bebe q bc ako sa rph t co GheoqqF j,academicbreaknow gago umuwi pala bebe q bc rph co gheoqqf j,0,-2,14,0.0,0
58,hays first day of second quarter pagod na agad ako AcademicBreakNow,hays first day second quarter pagod agad academicbreaknow,0,0,11,0.0,0
60,pagod na ko humiga AcademicBreakNow,pagod humiga academicbreaknow,0,0,5,0.0,0
65,wala na sa m n ule academicbreaknow eme t co GO gA b,wala n ule academicbreaknow eme co go ga b,0,0,13,0.0,0
71,AcademicBreak AcademicBreakNow fleece bobo kasi ako sa math no joke real,academicbreak academicbreaknow fleece bobo kasi math joke real,0,-2,11,0.0,0
72,Every week nalang nag rereview AcademicBreakNow chz,every week nalang nag rereview academicbreaknow chz,0,0,7,0.0,0
73,icb i now have to attend in person classes days a week AcademicBreakNow,icb attend person classes days week academicbreaknow,1,0,13,1.0,1
75,far from UP s trademark of supposedly being a university for the people READ t co Up RGI RF Words by Teddy Kirstien Balagot AcademicBreakNow NoStudentLeftBehind WalangIwananUPB,far trademark supposedly university people read co rgi rf words teddy kirstien balagot academicbreaknow nostudentleftbehind walangiwananupb,1,0,27,1.0,1
76,I m still working on greatest what if sunwon aaack i need academicbreaknow,still working greatest sunwon aaack need academicbreaknow,1,0,13,1.0,1
77,Academicbreaknow bat nasa mataas na floor kami,academicbreaknow bat nasa mataas floor,1,-2,7,-0.3333333333333333,0
78,Gago ante nakakahiya naman parang di ako inaksep sa fb academicbreaknow ayoko magkita kami sa skul,gago ante nakakahiya naman parang di inaksep fb academicbreaknow ayoko magkita skul,0,0,16,0.0,0
79,sana hindi tayo tumigil sa pagtambol at pagtawag sa administrayson ng isang tunay at epektibong academic break na makakabuti para sa sangkaestudyantehan AcademicBreakNow WalangIwananLouisian,sana tumigil pagtambol pagtawag administrayson tunay epektibong academic break makakabuti sangkaestudyantehan academicbreaknow walangiwananlouisian,1,-2,24,-0.3333333333333333,0
