,text,sentiment
0,hello academictwitter rest activate best thus try find time possible academicchatter phdvoice postdocvoice phdlife,1
1,q tapusin wednesday,1
2,tsngina pagod magpaypay,0
3,pagoda accla hours tulog gising lecture practice sayaw pm nakauwi tanginaaaa emz ahhahaahha,0
4,letra p putangina pagod,0
5,nakalimutan coffee essay tinapos jsxnsijshdiwnd okay magbigay essay reguirements napapabayaan coffee addiction,0
6,hard keep gawa lately pls eme,0
7,sobrang busy aaral,0
8,pagod hehe,0
9,radiant,1
10,grabe sobrang time enha,0
11,sagabal aaral kabadingan,1
12,haupppp yoko n basta mapasa ej nakaka dissatisfy tinatamad tlaga e pls ulit days,0
13,finance napakaraming terminologies piling napakaraming hakbang tas prac peh napakaaga matutulog nlng aq vacant,0
14,insightful graphical representation find phdlife phdone postdoc academictwitter academicchatter iqjdht phe,1
15,naglive jake alam believe,0
16,pagod aral,1
17,fuck sisimula,0
18,hi guys kinakantot katamaran,0
19,miss koreano enhypen,0
20,taenang schedule,0
21,first full f f classes pagod pagod emz,0
22,hirap pumasok wtf schooldisband nakakainisnapumasok,0
23,kaming time stan twt,0
24,pagpapahingahin gago seryoso,0
25,omg guys pasok bukas nov healthiswealth vwepaeelhi,0
26,tangina nd makapag esbi esbi,0
27,gn unfinished assignment due bukas,0
28,pagod pumasok,0
29,gago umuwi bebe q bc rph gheoqqf j,0
30,hays first second quarter pagod,0
31,pagod humiga,0
32,n ule eme go ga b,0
33,fleece bobo math joke real,0
34,every rereview chz,0
35,icb attend person classes days,1
36,far trademark supposedly university people read rgi rf words teddy kirstien balagot nostudentleftbehind walangiwananupb,1
37,still working greatest sunwon aaack,1
38,bat nasa mataas floor,0
39,gago ante nakakahiya inaksep fb ayoko magkita skul,0
40,tumigil pagtambol pagtawag administrayson tunay epektibong makakabuti sangkaestudyantehan walangiwananlouisian,0
41,consider academia lifestyle rest part take well deserved rest academictwitter academicchatter phdvoice postdoclife,1
42,paanong quality aktibistang estudyante nagpapauso pagodnakami duterte classes sigaw marcos classes humihingi better education ayaw magsipasok nqet yqlc,0
43,sobrang lutang fleece eme,0
44,pagod n aq magreview,0
45,ngang scores exam nasa acceptance stage nako,0
46,nakakapagod maglakad,0
47,oras tulog,0
48,right,1
49,sakit,0
50,videoke makakanta pagod exam kanina hays,0
51,pagod math,0
52,belated happy vince late midterms uwa uwa k months kpermonth hold high green amp gold opqjchof,1
53,inang acads pinapalayo laloves ren em nakakapagbasa nang au busy gawa nang peta,0
54,pagod nako,0
55,lagi sumasakit pagod ayawkonamagcollege,0
56,subj yun ngayong araw pagod q hirap sumakay jeep pauwi,0
57,pagod commute huhu,0
58,isipin ah okay pspuba subject take midterm long quiz magaganap monday maawa hirap nang gawain sobra,0
59,mean tell stressing brains ugly crying full blown rushed project due sunday thought due today saya days aligaga kase nagagawa layo deadline,1
60,finally understood proverbial academictwitter fake make bravo learned academicchatter academicweapon yanoshwclx,0
61,nang pumapasok isip,0
62,pati rereview partner haha,0
63,inactive hays,0
64,ayoko,0
65,sleep deprived almost month ever since mom got work emz haha,1
66,malapit birthday ssob markthecull ndar sb stanworld swunionwarmup ilja e j,0
67,punyeta,0
68,nagbibitbit bag anignatup,0
69,late oc digitalart putangina originalcharacters twc tlryhd,0
70,stats probability passing step computation kada table tas anim n table asa exam talk lawyer n lng paglabas scores manginginig betlog,0
71,blue stop torture pls awa sunodsunod pinapagawa tas next exam kala sembreak,0
72,aral start hahahahahahah,1
73,tama october x ffjii,1
74,true clinging chance makahabol naasikaso bc work load let rest c dlnfzwry,1
75,bolshet pagod,0
76,pagod huhu,0
77,hahahahaha studyfirst nakamoveonna xentanga,1
78,tangina pagod,0
79,im tired,0
80,,1
81,ust angelicum pagod mrphg hxb,0
82,sleep pasok huhu,0
83,miss q ateez time yon huhu,0
84,tbh,1
85,nagkita ulit stressful weeks natin huhu see ulit finals charot collegelife nomoreexamspls bebetimeonly svi ythok,0
86,hbd hee belated,0
87,pagod aral,1
88,scaries earlier productive shook amp enjoyed fall saturday fall things wk bgykh,1
89,lumalakas amoy sembreak,0
90,nakakapag bebe time gt,0
91,nakakahiya enha tatamad tamad tas v hardworking,0
92,hala toh shutta nadagdagan nanaman content napapanood kainis hj xya oefd,0
93,joke pagod awa,0
94,wag kausapin putangina speed,0
95,ohmygad miss ateez kingina busy acads n time koreano q,0
96,miss q tumambay lt lt,0
97,ebarg daming,1
98,happened years hard work caffeine overdrive late nights worth phdvoice phd academictwitter cgnfw yrbz,1
99,mauubos yong concealer eyebags bosit andaming pinapagawa wearenotrobots,0
100,missed jakehoon live,0
101,ayoko business research,0
102,bwiset,0
103,pagod siyang nakangiti kausap katabi,0
104,pagod,0
105,fucking fuck mentalhealthmatters ayawkonamabuhay iwannakms putangina,0
106,tulog q,0
107,hello ayoko magftf nahuhuli balita pls eme,0
108,pagod,0
109,nd pagod ems,0
110,pagod estudyante,0
111,pagod,0
112,inang teacher pinagawa kumpleto aq tas babalik ung gawain kang binalik sakin tas ulitin nabalik tanga nabalik sakin,0
113,first stress,0
114,spoilers abt clau story made cry wait til finished stffs,0
115,uli ayoko,0
116,hinayag signal oi wohoi wa pay mas hinay ana cardoandlolaflorakissingscene pisskink wow siradonamoditooi,1
117,activities magingay twt,0
118,tired waking every,0
119,wahahahahha good morning nagsisimula kalbaryo msu,1
120,gagi first,0
121,ok cge nakadeact stan acc tangina faultttt follow kita bakasyon,0
122,struggle research academictwitter phdlife,0
123,iprioritize top priority magbasakangmanhwababes,1
124,pahirapan sumakay papasok taragis,0
125,naaamoy simoy sembreak,1
126,grabe masyadong time asawa eexist paki cancelled,0
127,take breaks tweet academictwitter academiclife thisacademiclife academia love,0
128,inunang relax cellphone gawin natambakan hirap hirap ayoko please,0
129,team micro vibrant senior scientist csir neeri dr rajesh today csir csirneeri scientist researchers academictwitter academicchatter academia environmentalsustainability environment bioremed r tbaoquk,1
130,sugat sugat kamay,0
131,hello academicians rest activate best thus try find time possible academictwitter phdvoice,1
132,memecoin like marvin sure marvinauts best community ever marvin marvin marvinarmy bnb bsc xgem ethereum crypto bitcoin gaiclou h,1
133,,1
134,new episode lots job interview panels years learned well cope get job listen h nbb tm academicchatter fridaymorning nationalpoetryday worldsmileday yx f,1
135,nakong time enhypen,0
136,hahahaha eme joke omg,0
137,kainis mapanood love suckers cheer kaaaral,1
138,groupings nanaman tangina nakong time enhypen,0
139,nakakatamad pumasok,0
140,kapagod aral,1
141,gumaganito sakin wda mkzg l,0
142,pagod pagod,0
143,makapag stream pota pasok gabi,0
144,miss limang alikabok,0
145,time kay mark lee malala,0
146,araw pagod,0
147,risking research done important creating environment feel either upscaling downscaling skills ethics academicchatter academictwitter research academicfreedom,1
148,missed yunki live,0
149,works getting way dream k qggu k,1
150,amaccana acads nakakasira ulo,0
151,grabe midterms madaan dasal aral,1
152,time kpop,0
153,nang pasok,0
154,pagod,0
155,hello b kidding hi everyone back hahahahahaha ia classes ftf good idea hahahahaha napapabayaan svt,1
156,berny finishes page nirereview nagtiktok ilang mins triny istart second page berny teka rest pat kapal mukha,0
157,pakisuspend pasok bukas please rispgbgjul dplgou wq,0
158,goals today teach write abstract generally amazing academictwitter academicchatter mondaymotivation,1
159,sakit buong katawan monday gtdhhztmpz,0
160,module,0
161,pucha start ata concert enhypen nasa,0
162,tangina klase ulit next,0
163,bitch wanna live,0
164,wrote paragraphs amazing idea burst idea change chapter reward disproportionately sized pdhlife academicwriting,1
165,nasasagutan number math potngena ayaw stop pls,0
166,bosit mapapanood concert tmr haha,0
167,naabotan ung space,0
168,research things noway pakyu,0
169,sobrang busy natutuunan pansin koreano,0
170,hehe pagod,0
171,ready thank,1
172,nct el w mmg,1
173,ayoko naaa tnu wydoh,0
174,time anime,0
175,pagod,0
176,kakatapos gumasa activities huhuhu taena,0
177,gagi hahahaha,0
178,non adjacent pick mean context got entire degree psychology went like uko v wfoj,1
179,miss svj kbr dj,0
180,omg ok teach quantitative subject never checked pretty lot pretty came office hours care pay attention everyone welcome academictwitter econtwitter hiywhyc,1
181,missed sunki live nyeta,0
182,aa monthly test labasan grades st quarter ayoko naaaaaa n pbkl lpw,0
183,sobrang busy nakalimutan flight babies charot bwhshchxhduchdgaysjshdh ru km bfg,0
184,missed jjfk bhl e,0
185,pls miss kpop world,0
186,sorry malabo mata tingin haixt failed carat streamlimbo,0
187,october next sakto pagod,0
188,time masasabi hahahaha joke,0
189,calling struggling extensive homework please direct message us questions availability rates commstwt studytwtph studytwt commisionsopen lw drixexi,0
190,dalwang araw nakapasok sakit uwi kaklase tinambakan assignment mapapa hashtag,0
191,pinabillboard de beh pasok con haha kita sched magiging sagabal pagkkpop tex sxy c,0
192,damn said txnxploiri,0
193,nanyoooo live bebe jungwonnn kooooo mn lng naabutannn,0
194,taena first pagod buwan taena pagodnako,0
195,ampanget sched q whole pasok pm auq,0
196,literally first exam whole tangina drain drain,0
197,sabog sabog gid ya akon grupo shota,0
198,lutang aq buong klase aq naintindihan,0
199,sagabal time pagbabasa,0
200,kaka gawa plates tinapalan salonpas,0
201,matutulog bco z gigising akoooo studyyyy haghahahaah bobonaako pagodnaakoooo,0
202,nakapag review,0
203,binebreak tama,1
204,ung crux q crux happycrushlang buhay angpoginiya angsmartniya christiansiya,1
205,nakakapag focus stan acc fortunas qvxa ndpnd,0
206,haha pagod aq niwala update kpop nawala isip album xiumin thpkflrd,0
207,thangina pagod nako,0
208,nakakapagfocus kay hajiro,0
209,nakakapagfocus kay lie,0
210,ayoko magaral,0
211,enlistment subjects pagod pls,0
212,ganito kaganda classmates wag drop fmr kh jc,0
213,ayoko napo akala pinasukan impyerno emz zm kruyec tkeky,0
214,nagplantsa e napaso hmp,0
215,tangina deadline pm dont understand shit,0
216,takes lot days matapos binabasang au kingina,1
217,tangina,0
218,kawawa taga th floor sakit katawan pati ulo sakitin era,0
219,weekend,1
220,tangina hirap experimental psychology magpahinga,0
221,miss q magscroll twt updated seventeen makipaghalubilo carat circle hay putanginang f f,0
222,nasakit ulo mata reaction paper,0
223,academics manage energy wisely happier also productive energy management includes taking proper breaks last take energy audit vcjwk mnzt academictwitter academicchatter phdlife,1
224,joke gt lt,0
225,lala ftf mhx bst,1
226,working consistently look like researchers writers probably much like think listen ujvn tgrh academictwitter academicchatter fridaymorning fridayfeeling fridayvibes weekend writingcommmunity phd phdlife uqd vsrjlf,1
227,ayan weekend binge watch namiss contents mukhang impossible emz,0
228,hi everyone haha nakabalik wakas kase updated lol,0
229,permission add one line rest enough productive morrow happy weekends everyone zbfz cccz,1
230,pagod pakshet,0
231,pagod magbitbit bag,0
232,ah life teacher said gave heart attacks thought adding little light humor lives academicchatter collegestudents ww,1
233,pagod char,0
234,time kpop kpop plq hezqlg,0
235,grabe kana c dko kinakaya,1
